hip,ra,dec,mag,spect,con,proper,dist,bayer
2661,0.561401,-29.558278,5.55,K1III,Scl,,165.0165,
2663,0.56217,-35.002078,6.41,F8/G0V,Scl,,33.1126,
2707,0.573583,66.750351,6.47,B9III,Cas,,189.7533,
2711,0.574374,-52.37309,5.57,F3IV-V,Phe,,25.4842,
2734,0.582046,13.371137,6.39,K0,Psc,,109.6491,
2762,0.587466,-3.592846,5.2,F8V...,Cet,,21.254,
2787,0.592454,-0.50561,5.94,F5IV,Cet,,54.4959,
2789,0.592591,-54.821873,6.04,K0IV,Phe,,70.7714,
2802,0.594767,-48.000907,5.51,F6V,Phe,,34.8189,Lam-2
2832,0.598557,13.207067,6.32,F7V,Psc,,37.5657,
2846,0.600877,-14.973035,6.45,K0III,Cet,,115.3403,
2852,0.601906,-22.842333,6.06,A5m...,Cet,,48.8759,
2854,0.602306,54.16845,5.08,B7III,Cas,,164.4737,
2876,0.607595,60.326215,5.78,A4III,Cas,,100000.0,
2889,0.610449,-65.124445,6.43,K2/K3III,Tuc,,211.8644,
2900,0.612903,44.488587,5.14,K5III,And,,189.0359,
2903,0.613142,15.231725,5.89,B2.5IV,Psc,,318.4713,
2912,0.61468,33.719344,4.34,B5V,And,,183.4862,Pi
2920,0.616188,53.896909,3.69,B2IV,Cas,Fulu,181.8182,Zet
2926,0.618664,24.014136,6.18,K2III,And,,112.7396,
2937,0.621727,-54.393819,6.4,K0II/IIICN,Phe,,146.8429,
2941,0.622393,-24.767267,5.57,K1V+...,Cet,,15.4012,
2942,0.622561,35.399501,5.45,G5III,And,,259.7403,
2954,0.625136,3.135351,6.43,K4III,Psc,,223.2143,
3031,0.642602,29.311751,4.34,G5III...,And,,50.226,Eps
3056,0.646883,-25.107819,6.43,K4III,Scl,,273.9726,
3083,0.652748,49.354589,5.45,K5III,Cas,,641.0256,
3092,0.655462,30.861024,3.27,K3III...,And,,32.352,Del
3093,0.656063,21.250472,5.88,K0V,Psc,,11.0595,
3132,0.663247,82.493762,6.38,F6V:,Cep,,33.2557,
3137,0.664428,-44.796293,6.0,K1IIICN...,Phe,,94.162,
3138,0.665436,21.438495,5.36,F3V...,Psc,,127.0648,
3170,0.673659,-59.454604,5.89,G1V,Tuc,,24.9563,
3175,0.674606,-16.516676,6.49,G8III,Cet,,146.4129,
3179,0.675116,56.537331,2.24,K0II-IIIvar,Cas,Schedar,69.979,Alp
3185,0.675771,-23.804876,6.14,G3/G5V,Cet,,28.885,
3193,0.678437,-4.351841,5.9,K0III,Cet,,144.5087,
3231,0.68533,39.458664,5.3,G8III,And,,108.8139,
3245,0.688766,-46.085007,4.59,G8III,Phe,,75.358,Mu
3269,0.693343,24.629008,6.06,A7m,And,,126.7427,
3277,0.69621,-56.501315,5.72,Ap,Phe,,67.0241,Xi
3299,0.700953,66.147592,5.83,G9III-IV,Cas,,158.4786,
3300,0.701081,50.512526,4.8,B2.5V,Cas,,438.5965,Xi
3330,0.707869,-65.46803,5.38,F6V,Tuc,,41.0341,Rho
3334,0.708618,58.753411,6.18,B9.5III,Cas,,336.7003,
3352,0.711609,-60.262807,5.99,K5III,Tuc,,70.8215,
3356,0.711914,-38.463483,6.05,B9.5V,Scl,,145.1379,Lam-1
3405,0.722567,-57.46306,4.36,A0IV,Phe,,75.5287,Eta
3414,0.724466,47.024546,4.95,A5V,Cas,,53.6769,Pi
3419,0.72649,-17.986605,2.04,K0III,Cet,Diphda,29.5334,Bet
3436,0.73058,-12.011813,6.01,K1III,Cet,,56.4016,
3455,0.7365,-10.60955,4.77,K0IIIvar,Cet,,71.6332,Phi-1
3456,0.736683,-38.421686,5.9,K1III,Scl,,103.8422,Lam-2
3478,0.740612,47.863984,5.66,B5V...,Cas,,191.2046,
3489,0.742107,-62.497591,6.06,F5III/IV,Tuc,,87.6424,
3504,0.74542,48.284364,4.48,B5III,Cas,,215.5172,Omi
3505,0.745666,-22.006135,5.22,F0V,Cet,,26.7451,
3521,0.749187,-42.676558,5.94,A7V,Phe,,64.3915,
3527,0.749959,-53.714895,6.15,F7III,Phe,,46.5983,
3544,0.754774,55.221396,5.41,A2Vs,Cas,,98.8142,
3552,0.756702,-4.62916,6.15,M0III,Cet,,253.8071,
3559,0.757969,-12.88081,6.15,G2V,Cet,,30.9981,
3572,0.760862,74.988073,5.64,A2IV,Cas,,93.0233,
3576,0.761585,-16.42422,6.47,F0IV,Cet,,89.0472,
3583,0.76265,-47.551985,5.8,G5IV,Phe,,15.1584,
3604,0.769669,44.861497,6.03,B9.5IIIMNp.,And,,131.0616,
3607,0.769929,-22.522097,5.49,G8/K0III,Cet,,93.2836,
3632,0.775822,15.475504,5.36,M4III,Psc,,238.0952,
3641,0.777313,69.325408,6.39,F3V,Cas,,40.7498,
3649,0.778462,59.574539,6.41,G0Ib,Cas,,934.5794,
3675,0.783738,11.973849,5.51,G8II,Psc,,86.8056,
3685,0.787118,19.578702,6.11,F0Vn,Psc,,100.6036,
3693,0.788981,24.267178,4.08,K1II,And,,58.0046,Zet
3697,0.789898,6.740956,5.98,G8III,Psc,,141.2429,
3717,0.795339,-18.061339,5.7,K3III,Cet,,108.9325,
3721,0.796119,74.847573,5.42,B8III,Cas,,236.4066,
3741,0.800296,-21.722492,5.57,B9V,Cet,,105.1525,
3750,0.802487,72.674482,5.86,K0IV,Cas,,61.237,
3760,0.804836,7.299928,5.92,G8III,Psc,,177.6199,
3765,0.806382,5.280615,5.74,K2V,Psc,96 G. Psc,7.4549,
3781,0.809777,-74.923438,5.09,K5III,Hyi,,64.9351,Lam
3786,0.811373,7.585079,4.44,K5III,Psc,,95.4198,Del
3801,0.813892,50.968168,4.9,B9III,Cas,,126.2626,Nu
3807,0.815758,-46.697648,6.28,G8III,Phe,,129.5337,
3810,0.816308,16.940644,5.07,F8V...,Psc,,23.4522,
3821,0.81826,57.815187,3.46,G0V SB,Cas,Achird,5.9531,Eta
3834,0.82054,-24.136672,5.9,K0III,Cet,,57.9039,
3849,0.823782,-13.561274,5.59,K3III,Cet,,85.1064,
3858,0.825953,-23.362144,6.27,A3IV,Cet,,234.192,
3881,0.830234,41.078911,4.53,B5V SB,And,,189.3939,Nu
3885,0.831433,27.710286,5.55,F5III+...,Psc,,88.574,
3903,0.834379,-43.394921,6.49,A9/F0III,Phe,,108.5776,
3909,0.835443,-10.644326,5.17,F7IV-V,Cet,,15.753,Phi-2
3919,0.838403,45.002258,6.13,A0p...,And,,100.3009,
3949,0.844768,-50.986816,5.24,F2III,Phe,,74.239,Rho
3951,0.845442,64.247549,5.35,A4V comp SB,Cas,,196.0784,
3965,0.849263,51.508032,6.38,F2IV,Cas,,67.2948,
3988,0.854551,61.805494,6.04,K5Ib,Cas,,100000.0,
3992,0.85509,3.38502,6.39,K0III,Psc,,137.931,
4023,0.859386,51.571427,6.22,B9.5V,Cas,,306.7485,
4104,0.877951,-24.005844,5.47,K1III,Cet,,171.2329,
4147,0.883471,-1.14426,4.78,M0III,Cet,,179.8561,
4151,0.884511,61.12397,4.8,F8V,Cas,,18.7441,
4164,0.886793,-24.776876,6.44,F3V,Cet,,73.5835,
4185,0.891173,37.418209,6.07,K3III:,And,,107.8749,
4200,0.893839,-62.871352,5.73,M4III,Tuc,,218.3406,
4212,0.896547,52.689293,6.27,A5m,Cas,,88.4173,
4257,0.904887,-8.740662,6.15,G5IV,Cet,,131.406,
4267,0.909785,19.188417,5.8,A1Vn,Psc,,108.1081,
4283,0.914667,83.707435,5.59,A4V,Cep,,87.7193,
4288,0.916139,23.628335,5.46,K1IV,And,,37.9795,
4292,0.916715,58.972698,4.83,K2III,Cas,,100.7049,Ups-1
4293,0.916751,-69.527084,5.45,G7III,Tuc,,68.0272,Lam-2
4298,0.918114,48.67852,6.28,M2.5IIIa,Cas,,207.4689,
4317,0.920742,24.557062,6.19,M4III,Psc,,173.913,
4346,0.928444,-7.347149,5.88,K5III,Cet,,184.5018,
4363,0.932093,-27.775839,6.11,M1/M2III,Scl,,292.3977,
